TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:12:37.067;2859.562;1
12:12:37.089;2860.921;1
12:12:37.112;2861.539;1
12:12:37.135;2860.303;1
12:12:37.158;2860.551;1
12:12:37.182;2860.551;1
12:12:37.206;2860.551;1
12:12:37.229;2862.034;1
12:12:37.251;2859.686;1
12:12:37.273;2860.798;1
12:12:37.299;2862.775;1
12:12:37.319;2860.18;1
12:12:37.343;2860.18;1
12:12:37.366;2860.18;1
12:12:37.388;2859.191;1
12:12:37.411;2861.663;1
12:12:37.434;2858.944;1
12:12:37.457;2859.315;1
12:12:37.481;2859.315;1
12:12:37.504;2859.315;1
12:12:37.527;2861.539;1
12:12:37.549;2859.562;1
12:12:37.575;2856.966;1
12:12:37.597;2861.045;1
12:12:37.621;2861.045;1
12:12:37.642;2860.056;1
12:12:37.664;2860.056;1
12:12:37.687;2859.315;1
12:12:37.710;2860.674;1
12:12:37.733;2861.663;1
12:12:37.756;2861.663;1
12:12:37.784;2859.686;1
12:12:37.803;2861.416;1
12:12:37.825;2861.416;1
12:12:37.848;2862.034;1
12:12:37.874;2859.933;1
12:12:37.895;2859.933;1
12:12:37.918;2860.056;1
12:12:37.940;2860.056;1
12:12:37.965;2861.787;1
12:12:37.988;2859.809;1
12:12:38.009;2859.686;1
12:12:38.035;2859.686;1
12:12:38.057;2861.416;1
12:12:38.080;2859.067;1
12:12:38.102;2859.067;1
12:12:38.124;2858.944;1
12:12:38.150;2861.787;1
12:12:38.172;2861.787;1
12:12:38.193;2858.944;1
12:12:38.216;2858.449;1
12:12:38.239;2861.292;1
12:12:38.262;2861.292;1
12:12:38.286;2860.056;1
12:12:38.308;2860.056;1
12:12:38.331;2859.809;1
12:12:38.355;2859.809;1
12:12:38.377;2860.674;1
12:12:38.400;2858.944;1
12:12:38.423;2858.944;1
12:12:38.449;2861.169;1
12:12:38.471;2861.169;1
12:12:38.492;2861.292;1
12:12:38.515;2859.067;1
12:12:38.538;2860.674;1
12:12:38.563;2861.169;1
12:12:38.584;2861.169;1
12:12:38.607;2861.169;1
12:12:38.630;2860.18;1
12:12:38.653;2860.303;1
12:12:38.678;2861.169;1
12:12:38.699;2860.427;1
12:12:38.722;2860.427;1
12:12:38.745;2860.427;1
12:12:38.768;2859.438;1
12:12:38.791;2859.438;1
12:12:38.815;2861.539;1
12:12:38.838;2860.18;1
12:12:38.860;2859.686;1
12:12:38.884;2859.686;1
12:12:38.906;2861.91;1
12:12:38.931;2859.809;1
12:12:38.954;2859.809;1
12:12:38.976;2859.686;1
12:12:38.999;2861.663;1
12:12:39.021;2860.427;1
12:12:39.044;2860.427;1
12:12:39.067;2858.82;1
12:12:39.090;2858.82;1
