TimeStamp;Температура масла на входе в двигатель за фильтром (поз. Т607);0 - Bad, 1 - Good
12:13:00.112;23.293;1
12:13:00.135;23.293;1
12:13:00.160;23.293;1
12:13:00.182;23.293;1
12:13:00.204;23.293;1
12:13:00.227;23.293;1
12:13:00.250;23.293;1
12:13:00.274;23.293;1
12:13:00.296;23.293;1
12:13:00.319;23.293;1
12:13:00.343;23.293;1
12:13:00.366;23.293;1
12:13:00.390;23.293;1
12:13:00.412;23.293;1
12:13:00.435;23.293;1
12:13:00.458;23.293;1
12:13:00.482;23.293;1
12:13:00.504;23.293;1
12:13:00.529;23.293;1
12:13:00.551;23.293;1
12:13:00.573;23.293;1
12:13:00.597;23.293;1
12:13:00.619;23.293;1
12:13:00.643;23.293;1
12:13:00.667;23.293;1
12:13:00.689;23.293;1
12:13:00.712;23.293;1
12:13:00.735;23.2;1
12:13:00.759;23.2;1
12:13:00.783;23.2;1
12:13:00.803;23.2;1
12:13:00.828;23.2;1
12:13:00.849;23.2;1
12:13:00.873;23.2;1
12:13:00.896;23.2;1
12:13:00.919;23.2;1
12:13:00.941;23.2;1
12:13:00.965;23.2;1
12:13:00.988;23.2;1
12:13:01.011;23.2;1
12:13:01.033;23.2;1
12:13:01.057;23.223;1
12:13:01.081;23.223;1
12:13:01.105;23.223;1
12:13:01.125;23.223;1
12:13:01.149;23.223;1
12:13:01.175;23.223;1
12:13:01.195;23.223;1
12:13:01.219;23.223;1
12:13:01.242;23.223;1
12:13:01.264;23.223;1
12:13:01.288;23.223;1
12:13:01.310;23.223;1
12:13:01.331;23.223;1
12:13:01.355;23.223;1
12:13:01.378;23.27;1
12:13:01.401;23.27;1
12:13:01.425;23.27;1
12:13:01.447;23.27;1
12:13:01.470;23.27;1
12:13:01.492;23.27;1
12:13:01.517;23.27;1
12:13:01.540;23.27;1
12:13:01.562;23.27;1
12:13:01.584;23.27;1
12:13:01.610;23.27;1
12:13:01.630;23.27;1
12:13:01.654;23.27;1
12:13:01.676;23.293;1
12:13:01.702;23.293;1
12:13:01.722;23.293;1
12:13:01.748;23.293;1
