TimeStamp;Положение КПВ (поз. A3);0 - Bad, 1 - Good
12:10:17.525;8.384;1
12:10:17.548;8.28;0
12:10:17.571;8.28;1
12:10:17.594;8.345;1
12:10:17.617;8.345;1
12:10:17.642;8.367;1
12:10:17.664;8.373;1
12:10:17.686;8.457;1
12:10:17.709;8.457;1
12:10:17.732;8.505;1
12:10:17.755;8.505;1
12:10:17.780;8.474;1
12:10:17.801;8.494;1
12:10:17.824;8.362;0
12:10:17.847;8.395;1
12:10:17.870;8.395;1
12:10:17.894;8.395;1
12:10:17.917;8.426;1
12:10:17.940;8.384;1
12:10:17.963;8.381;1
12:10:17.988;8.44;1
12:10:18.008;8.44;1
12:10:18.031;8.44;1
12:10:18.056;8.457;1
12:10:18.079;8.505;1
12:10:18.103;8.412;0
12:10:18.123;8.384;1
12:10:18.148;8.384;1
12:10:18.169;8.384;1
12:10:18.194;8.474;0
12:10:18.216;8.409;1
12:10:18.238;8.409;1
12:10:18.264;8.505;0
12:10:18.284;8.505;1
12:10:18.307;8.457;1
12:10:18.331;8.457;1
12:10:18.354;8.474;1
12:10:18.378;8.443;1
12:10:18.401;8.46;1
12:10:18.423;8.46;1
12:10:18.445;8.471;1
12:10:18.471;8.471;1
12:10:18.492;8.511;1
12:10:18.514;8.468;1
12:10:18.540;8.471;1
12:10:18.561;8.471;1
12:10:18.585;8.508;1
12:10:18.608;8.519;1
12:10:18.629;8.519;1
12:10:18.652;8.536;1
12:10:18.675;8.48;1
12:10:18.698;8.48;1
12:10:18.722;8.525;1
12:10:18.745;8.553;1
12:10:18.767;8.46;0
12:10:18.791;8.46;1
12:10:18.815;8.398;1
12:10:18.836;8.474;1
12:10:18.862;8.474;1
12:10:18.884;8.53;1
12:10:18.908;8.497;1
12:10:18.928;8.423;1
12:10:18.953;8.423;1
12:10:18.974;8.46;1
12:10:18.998;8.46;1
12:10:19.022;8.432;1
12:10:19.043;8.457;1
12:10:19.069;8.485;1
12:10:19.089;8.578;0
12:10:19.112;8.578;1
12:10:19.138;8.578;1
12:10:19.158;8.48;0
12:10:19.184;8.494;1
12:10:19.204;8.449;1
12:10:19.227;8.449;1
12:10:19.250;8.401;1
12:10:19.275;8.401;1
12:10:19.296;8.446;1
12:10:19.322;8.429;1
12:10:19.342;8.454;1
12:10:19.368;8.429;1
12:10:19.388;8.429;1
12:10:19.412;8.429;1
12:10:19.435;8.446;1
12:10:19.459;8.409;1
12:10:19.483;8.468;1
12:10:19.506;8.468;1
12:10:19.528;8.491;1
12:10:19.550;8.443;1
12:10:19.574;8.443;1
12:10:19.595;8.376;1
12:10:19.619;8.522;0
12:10:19.641;8.522;1
12:10:19.664;8.505;1
12:10:19.689;8.443;1
12:10:19.710;8.443;1
12:10:19.733;8.384;1
12:10:19.756;8.395;1
12:10:19.781;8.395;1
12:10:19.803;8.46;1
12:10:19.825;8.491;1
12:10:19.850;8.491;1
12:10:19.871;8.547;1
12:10:19.894;8.468;1
12:10:19.917;8.37;0
12:10:19.940;8.37;1
12:10:19.963;8.398;1
12:10:19.986;8.398;1
12:10:20.010;8.474;1
12:10:20.034;8.432;1
12:10:20.056;8.392;1
12:10:20.084;8.347;1
12:10:20.104;8.347;1
12:10:20.124;8.347;1
12:10:20.149;8.429;1
12:10:20.171;8.423;1
12:10:20.193;8.429;1
12:10:20.216;8.499;1
12:10:20.242;8.499;1
12:10:20.262;8.499;1
12:10:20.288;8.485;1
12:10:20.310;8.558;1
12:10:20.331;8.443;0
12:10:20.355;8.415;1
12:10:20.379;8.415;1
12:10:20.400;8.395;1
12:10:20.423;8.395;1
12:10:20.447;8.446;1
12:10:20.469;8.505;1
12:10:20.492;8.505;1
12:10:20.515;8.505;1
12:10:20.540;8.505;1
12:10:20.562;8.519;1
12:10:20.587;8.491;1
12:10:20.607;8.353;0
12:10:20.630;8.325;1
12:10:20.653;8.325;1
12:10:20.676;8.46;0
12:10:20.699;8.46;1
12:10:20.722;8.398;1
12:10:20.745;8.311;1
12:10:20.768;8.311;1
12:10:20.791;8.412;0
12:10:20.815;8.412;1
12:10:20.839;8.398;1
12:10:20.860;8.497;0
12:10:20.886;8.508;1
12:10:20.907;8.384;0
12:10:20.930;8.384;1
12:10:20.954;8.384;1
12:10:20.977;8.443;1
12:10:20.999;8.395;1
12:10:21.022;8.466;1
12:10:21.044;8.463;1
12:10:21.068;8.463;1
12:10:21.091;8.463;1
12:10:21.113;8.443;1
12:10:21.136;8.471;1
12:10:21.159;8.457;1
12:10:21.182;8.443;1
12:10:21.206;8.443;1
12:10:21.228;8.443;1
12:10:21.251;8.364;1
12:10:21.274;8.412;1
12:10:21.300;8.488;1
12:10:21.320;8.544;1
12:10:21.345;8.544;1
12:10:21.369;8.488;1
12:10:21.390;8.356;0
12:10:21.413;8.356;1
12:10:21.435;8.449;0
12:10:21.459;8.44;1
12:10:21.483;8.44;1
12:10:21.507;8.435;1
12:10:21.528;8.435;1
12:10:21.550;8.378;1
12:10:21.573;8.412;1
12:10:21.597;8.429;1
12:10:21.621;8.429;1
12:10:21.643;8.336;0
12:10:21.665;8.46;0
12:10:21.688;8.46;1
12:10:21.712;8.359;0
12:10:21.735;8.384;1
12:10:21.757;8.331;1
12:10:21.784;8.331;1
